1,Registry Certificate ,MSA,2018.06.22,2023.06.21,
2,Minimum Safe Manning Certificate,MSA,2018.06.22,2023.06.21,
3,Radio Station License ,,2020.05.22,2023.05.21,
4,MMSI CERT ,MSA,2018.06.13,long,
5,Certificate of record of international maritime transport ship,MA,2018.06.28,long,
6,Document of Compliance(DOC),MSA,2022.04.08,2024.04.07, 
7,Safety Management Certificate(SMC),CCS,2023.02.23,2023.08.22, 
8,International Ship Security Certificate(ISSC),CCS,2023.02.23,2023.08.22, 
9,Continuous Synopsis Record(CSR),MSA,2019.09.11,LONG,共计16份
10,MLC(Maritime Labour Certificate),CCS,2023.02.20,2023.08.19,临时证书
11,DECLARATION OF MLC PART I ,,2023.01.12,,在文件柜
12,SHIP MANAGEMENT AGREEMENT,,2023.01.09,,
13,Inspection of crew accommodations cert.ICAC(PANAMA),,,,本船不需要办
14,Certificate of Classification,CCS,2020.12.21,2026.01.03,2023.02.23中间检验
15,SC(Safety Construction Certificate),CCS,2022.10.08,2026.01.03,2023.02.23年度检验
16,SE(Safety Equipment Certificate) with Form E,CCS,2020.12.21,2026.01.03,2023.02.23年度检验
17,SR(Cargo Ship Safety Radio Certificate)with form G,CCS,2020.12.21,2026.01.03,2023.02.23年度检验
18,SHOREBASED MAINTENANCE AGREEMENT,,2023.02.27,2024.02.26,
19,CPIC FOR  HULL,CPIC,2023.01.01,2023.12.31,
20, P&I INSURANCE,PICC,2023.02.20,2024.02.20,
21,ITC,CCS,2018.09.28,long,
22,ILL(International Load Line Certificate),CCS,2020.12.21,2026.01.03,2023.02.23中间检验
23,record of condition ,,2018.06.21, ,
24,IOPP,CCS,2020.12.21,2026.01.03,2023.02.23中间检验
25,SUPPLEMENT TO IOPP,CCS,2018.06.21,,
26,IAPP,CCS,2023.02.23,2026.01.03,2023.02.23中间检验
27,SUPPLEMENT TO IAPP,CCS,2020.12.21C,,
28,EIAPP M/E & 3 AE,CCS,2018.06.21,long,
29,statement of garbage pollution ,CCS,2018.06.21,long,
30,Intertional sewage pollution prevention cert.ISPP,CCS,2020.12.21,2026.01.03,
31,IAFS(Anti-fouling System Certificate),CCS,2023.02.23,long,
32,records of the anti-fouling systems  statament of drydock inspection   statement of environmentally acceptable lubricants,CCS,2020.12.21,,
33,IEE(International Energy Efficiency Certificate)                        ,CCS     ,2023.02.23 ,long,
34,COC SEEP PART 3,MSA,2022.12.26 ,long,
35,IBWM(International Ballast Water Management Certificate),CCS,2023.02.23,2026.01.03,2023.02.23中间检验
36,certificate of Compliance for Carriage of Cargo in BULK(CBC),CCS,2020.12.21,2023.01.03,copy on board
37,carriage grain in bulk,CCS,2018.06.21,long,
38,carriage dangerous goods(DOC),CCS,2020.12.21,2026.01.03,
39,cargo gear book  &cert.test & thorough examination of loose gear,ccs,2018.06.21,long,2023.02.23中间检验
40,cert.test &thorough examination of lifting appliances  ,CCS,2020.12.21,,全克令吊检查时间2020-7-11；2a&2b - 2020.12
41,electronic cert,ccs,2018.06.21,long,
42,Medicine Chest Certificate ,,2023.02.13,2024.02.12,
43,SSCEC,CALLAO,2022.11.30,2023.5.30, 
44,CHINA DUES,CHINA CUSTOMS,2023.01.16,2023.03.14, 
45,"PC/UMS Document of Total Volume
(Panama Tonnage Certificate)
",PANAMA,2017.01.18,-,FPO/17/00292
46,Suez Canal Tonnage Certificate ,SUEZ CANAL,2017.01.18,-,FPO/17/00281
47,Civil Liability for Bunker Oil Pollution Damage,,2023.02.20,2023.06.21, 
48,Cert of Insurance for Removal of Wreck,,2023.02.20,2023.06.21, 
49,"P&I Entry Certificate (FOR MLC, FREIGHT,demurrage defence cover,ETC)",SKULD,2023.02.20,2024.02.20,
50,statement on emergency response service,CCS,2018.07.10, ,
51,CONFIRMATION OF COMPLANCE(CC. SEEMP),CCS,2019.10.30, ,
52,Statement of compliance-fuel oil consumption reporting,ccs,2022.04.26,2023.05.31,
53,mrv verification rpt EU,ccs,2020.04.22,2021.06.30,
54,mrv verification rpt IMO,CCS,2022.04.26,2023.05.31,电子版（打印）
55,ISSC MLC audit/inspection rpt,CCS,2020.02.08, ,
56,SMC audit/inspection rpt,CCS,2020.03.04, ,
57,Certificate for Loading Instrument(copy),SCHIFFKO,2006.03.21,-,5-893.11
58,有害物质清单符合声明,,,,
59,pilot ladder  CERT.and 克令吊紧急逃生梯,,,,
60,AGM,,2022.10.11,,
